Kategori1,Kategori2,Kategori3,Harga,HargaAtas,OmsetMinimum,JumlahTerjual,JumlahReview,JumlahRating,ValidOrder,KotaPengiriman,PenjualanSebelumnya,KenaikanPenjualan,PersentaseKenaikanPenjualan,ReviewSebelumnya,KenaikanReviewPenjualan,PersentaseKenaikanReview,ExtractionTimestamp
Handphone & Aksesoris,Aksesoris,Kartu Memori,35800.0,105000.0,124727200,3484,1532,4.5055519268452,0.4397,KAB. TANGERANG,25.0,984.0,39.36,1139.0,393.0,34.503950834065,2025-05-01 18:50:43.387102
Handphone & Aksesoris,Aksesoris,Kartu Memori,38000.0,38000.0,713830000,18785,5160,4.84221748400853,0.2747,KOTA JAKARTA UTARA,,,,,,0.0,2025-05-01 18:50:43.387102
Handphone & Aksesoris,Aksesoris,Kartu Memori,31250.0,44500.0,236187500,7558,497,4.91750503018109,0.0658,KAB. TULUNGAGUNG,6595.0,963.0,14.61971192957,43.0,67.0,15.5813953488372,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Tali Sepatu,1800.0,1800.0,43331400,24073,4246,4.77709707822809,0.1764,KAB. TANGERANG,2112.0,361.0,14.567865981344,395.0,341.0,8.73239436619718,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Shoe Tree & Horns,1999.0,1999.0,66512727,33273,7322,4.79923518164436,0.22010000000000002,KOTA TANGERANG,3182.0,2191.0,7.499593977222,6859.0,463.0,6.75025513923312,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,6250.0,6250.0,159056250,25449,9179,4.56856333115326,0.3607,KOTA JAKARTA BARAT,2272.0,2747.0,12.1255484983,8255.0,924.0,11.1932162325863,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Shoe Tree & Horns,13500.0,13500.0,550516500,40779,5161,4.8383779588669,0.1266,KAB. NGANJUK,38167.0,2612.0,6.8436835276548,4982.0,179.0,3.59293456443196,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Aksesoris & Perawatan Sepatu Lainnya,11900.0,11900.0,141193500,11865,2661,4.83025969138126,0.2243,KAB. GARUT,9691.0,2174.0,22.433185429782,2221.0,44.0,19.810895992796,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,28500.0,28500.0,650598000,22828,10695,4.76190476190476,0.4685,KOTA DEPOK,2676.0,2152.0,1.48227471465,974.0,955.0,9.80492813141684,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Tali Sepatu,5000.0,15000.0,78720000,15744,5701,4.83435690472013,0.36210000000000003,KOTA BANDUNG,13578.0,2166.0,15.952275741679,588.0,613.0,12.0479559748428,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Insole Sepatu,4000.0,4000.0,64252000,16063,3302,4.82192610539067,0.20559999999999998,KAB. TANGERANG,1419.0,1873.0,13.199436222692,2911.0,391.0,13.4318103744418,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,142560.0,142560.0,1718703360,12056,6369,4.81521055939661,0.5283,KOTA BEKASI,1254.0,182.0,17.5736298337,5445.0,924.0,16.969696969697,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Tali Sepatu,1750.0,1750.0,179166750,102381,3659,4.84449303088276,0.035699999999999996,KOTA JAKARTA UTARA,1686.0,1695.0,1.68345152255527,362.0,57.0,1.58245419211549,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,23844.0,23844.0,476641560,19990,8947,4.71744966442953,0.4476,KAB. TANGERANG,18124.0,1866.0,1.295744546458,8131.0,816.0,10.0356659697454,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Tali Sepatu,11500.0,12000.0,124246000,10804,2767,4.85146367907481,0.2561,KOTA JAKARTA BARAT,9118.0,1686.0,18.498971265628,231.0,466.0,20.2520643198609,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Tali Sepatu,5000.0,10000.0,52450000,10490,3403,4.82323529411765,0.32439999999999997,KAB. TANGERANG,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Parfum Sepatu,15000.0,15000.0,387180000,25812,9648,4.81822895064289,0.3738,KOTA JAKARTA BARAT,24287.0,1525.0,6.2797934285832,916.0,542.0,5.95211948166044,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Insole Sepatu,20000.0,20000.0,443400000,22170,10633,4.82914430951708,0.4796,KAB. KLATEN,2178.0,192.0,5.1875718758895,1146.0,487.0,4.79992115119259,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Aksesoris & Perawatan Sepatu Lainnya,10999.0,10999.0,189358784,17216,2396,4.84325230511316,0.1392,KOTA JAKARTA UTARA,1572.0,1496.0,9.516539442356,2121.0,275.0,12.965582272513,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Insole Sepatu,14700.0,14700.0,304892700,20741,7065,4.71155480033985,0.3406,KOTA SURABAYA,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Parfum Sepatu,15000.0,15000.0,40860000,2724,1014,4.86587771203156,0.3722,KOTA TANGERANG SELATAN,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Shoe Tree & Horns,13600.0,13999.0,412841600,30356,5863,4.77992146149906,0.1931,KOTA SURABAYA,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Shoe Tree & Horns,14799.0,14999.0,523559022,35378,7845,4.68851411779737,0.2217,KOTA JAKARTA TIMUR,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,15200.0,25000.0,183068800,12044,4822,4.73853496576053,0.4004,KAB. TANGERANG,1685.0,1359.0,12.718764623337,4278.0,544.0,12.7162225338943,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,7350.0,7350.0,13332900,1814,447,4.77404921700224,0.2464,KOTA DEPOK,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Aksesoris & Perawatan Sepatu Lainnya,25000.0,26000.0,159950000,6398,2322,4.86071582578698,0.3629,KAB. BADUNG,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Aksesoris & Perawatan Sepatu Lainnya,9999.0,9999.0,221977800,22200,4768,4.70799244808055,0.2148,KOTA JAKARTA BARAT,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,5841.0,5841.0,20799801,3561,1026,4.55945419103314,0.28809999999999997,KOTA SURAKARTA (SOLO),,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Insole Sepatu,800.0,5000.0,7621600,9527,2217,4.84025270758123,0.2327,KAB. TANGERANG,8453.0,174.0,12.75548326381,1958.0,259.0,13.2277834525026,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,37000.0,37000.0,544381000,14713,5096,4.79893972118594,0.3464,KOTA SALATIGA,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Tali Sepatu,600.0,1000.0,32575200,54292,2030,4.7752587481518,0.0374,KAB. TANGERANG,53525.0,767.0,1.43297524521252,1968.0,62.0,3.15040650406504,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,240.0,240.0,10936320,45568,922,4.66702819956616,0.0202,KOTA JAKARTA BARAT,44354.0,1214.0,2.7376993732245,858.0,64.0,7.45920745920746,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,7500.0,7500.0,161722500,21563,2915,4.87718696397942,0.1352,KOTA JAKARTA BARAT,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Insole Sepatu,13900.0,13900.0,70973400,5106,1565,4.83067092651757,0.3065,KOTA JAKARTA UTARA,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,20000.0,20000.0,70100000,3505,1708,4.82776801405975,0.48729999999999996,KOTA TANGERANG SELATAN,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Shoe Tree & Horns,15500.0,16000.0,160998500,10387,2165,4.83055555555556,0.2084,KOTA TANGERANG SELATAN,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Alat Perawatan & Pembersih Sepatu,14999.0,24999.0,61645890,4110,1896,4.8363252375924,0.46130000000000004,KOTA JAKARTA BARAT,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Parfum Sepatu,15000.0,15000.0,30195000,2013,749,4.8785046728972,0.3721,KOTA JAKARTA SELATAN,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Pria,Aksesoris & Perawatan Sepatu,Shoe Tree & Horns,14800.0,14800.0,41040400,2773,562,4.84163701067616,0.2027,KOTA JAKARTA TIMUR,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Perawatan Sepatu,2295.0,2295.0,481731975,209905,29520,4.72530749161386,0.1406,KOTA JAKARTA UTARA,24621.0,5284.0,2.58233514644147,2963.0,457.0,1.57244606544404,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Tali Sepatu,499.0,499.0,14039365,28135,589,4.73639455782313,0.0209,KAB. TANGERANG,24334.0,381.0,15.621199967124,531.0,58.0,10.9227871939736,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Aksesoris & Perawatan Sepatu Lainnya,5999.0,5999.0,257171131,42869,4799,4.88013341671878,0.1119,KAB. TANGERANG,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Aksesoris & Perawatan Sepatu Lainnya,2700.0,2700.0,101598300,37629,7227,4.85425605536332,0.19210000000000002,KAB. TANGERANG,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,7900.0,11900.0,125215000,15850,4827,4.8769422001243,0.3045,KOTA JAKARTA UTARA,12865.0,2985.0,23.22487368832,3988.0,839.0,21.0381143430291,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,4950.0,10500.0,122651100,24778,8064,4.84176587301587,0.32539999999999997,KOTA JAKARTA UTARA,2184.0,2974.0,13.6396991377729,713.0,961.0,13.529494579755,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Aksesoris & Perawatan Sepatu Lainnya,2700.0,2700.0,88017300,32599,4593,4.86514161220044,0.1409,KAB. TANGERANG,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,4680.0,16900.0,40856400,8730,3080,4.88214285714286,0.3528,KOTA JAKARTA UTARA,6391.0,2339.0,36.5983414176185,2235.0,845.0,37.8076062639821,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,6555.0,14155.0,217180260,33132,9729,4.83595436324391,0.29359999999999997,KOTA JAKARTA UTARA,3794.0,2338.0,7.59238812755732,899.0,739.0,8.2202447163515,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,5790.0,5790.0,27809370,4803,1021,4.79138099902057,0.2126,KOTA JAKARTA BARAT,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,5000.0,5000.0,11865000,2373,307,4.86970684039088,0.1294,KOTA JAKARTA BARAT,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Tali Sepatu,1500.0,1500.0,91965000,61310,881,4.86038592508513,0.0144,KAB. BOGOR,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,3780.0,3780.0,24271380,6421,1563,4.83109404990403,0.2434,KOTA JAKARTA UTARA,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,6900.0,10500.0,103520700,15003,4623,4.87021414665801,0.3081,KOTA JAKARTA UTARA,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,4900.0,12900.0,60613000,12370,3208,4.66136576239476,0.2593,KOTA SURABAYA,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,7125.0,18711.0,160668750,22550,6727,4.8621766280107,0.2983,KOTA JAKARTA UTARA,2169.0,1481.0,7.2928473112155,6283.0,444.0,7.06668788795162,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,24900.0,24900.0,249298800,10012,4095,4.84297924297924,0.409,KOTA JAKARTA BARAT,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,4990.0,19720.0,43567690,8731,3253,4.84691054411313,0.3726,KOTA JAKARTA UTARA,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,3750.0,3750.0,19886250,5303,875,4.83771428571429,0.165,KAB. TANGERANG,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Perawatan Sepatu,3000.0,4000.0,20931000,6977,1292,4.3513084853291,0.1852,KOTA TANGERANG,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,5470.0,5470.0,7537660,1378,343,4.83381924198251,0.2489,KAB. TANGERANG,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Tali Sepatu,9990.0,9990.0,29370600,2940,624,4.87339743589744,0.2122,KOTA JAKARTA BARAT,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Aksesoris & Perawatan Sepatu Lainnya,2350.0,2350.0,526818300,224178,16326,4.82917560527122,0.0728,KAB. TANGERANG,22299.0,1188.0,0.532759316561281,16256.0,7.0,0.430610236220472,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Sol Dalam Sepatu,3300.0,3300.0,16490100,4997,740,4.7945945945946,0.1481,KOTA JAKARTA BARAT,,,,,,0.0,2025-05-01 18:50:43.387102
Sepatu Wanita,Aksesoris & Perawatan Sepatu,Tali Sepatu,2000.0,2000.0,89088000,44544,2572,4.88914819136523,0.057699999999999994,KOTA DEPOK,,,,,,0.0,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,USB HUB & Card Reader,4100.0,4100.0,159830300,38983,3987,4.78680712315024,0.1023,KOTA JAKARTA UTARA,36366.0,2617.0,7.19628224165429,3838.0,149.0,3.88223032829599,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,Pelindung Laptop & Skin Laptop,300.0,300.0,1161000,3870,9,5.0,0.0023,KOTA JAKARTA UTARA,,,,,,0.0,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,USB HUB & Card Reader,6500.0,21750.0,43914000,6756,65,4.96923076923077,0.0096,KAB. INDRAMAYU,562.0,1694.0,33.465335835638,53.0,12.0,22.6415094339623,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,Mouse Pad,2399.0,2399.0,81705142,34058,4237,4.83140495867769,0.1244,KOTA TANGERANG,3161.0,2457.0,7.77574916427,447.0,19.0,4.69483568075117,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,Mouse Pad,99000.0,99000.0,197307000,1993,109,5.0,0.0547,KOTA JAKARTA PUSAT,,,,,,0.0,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,Webcam,54000.0,54000.0,519534000,9621,4398,4.68653321201092,0.4571,KOTA JAKARTA PUSAT,8189.0,1432.0,17.486872634213,3653.0,745.0,20.3941965507802,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,Cooling Pad,28900.0,28900.0,246517000,8530,3469,4.61149624494512,0.4067,KOTA JAKARTA UTARA,6292.0,2238.0,35.568976478674,2579.0,89.0,34.5094998061264,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,Pelindung Laptop & Skin Laptop,500.0,500.0,8970500,17941,1742,4.76865671641791,0.0971,KOTA DEPOK,,,,,,0.0,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,Meja & Stand Laptop,49000.0,109000.0,799141000,16309,7940,4.6837133140194,0.4868,KAB. BEKASI,14788.0,1521.0,1.2853665133892,725.0,735.0,10.2012491325468,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,USB HUB & Card Reader,3500.0,3500.0,120106000,34316,6894,4.65274151436031,0.2009,KOTA DEPOK,32548.0,1768.0,5.43197738724346,666.0,234.0,3.51351351351351,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,Mouse Pad,3745.0,3745.0,44576735,11903,2528,4.84493670886076,0.21239999999999998,KOTA SURABAYA,,,,,,0.0,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,USB HUB & Card Reader,2200.0,4000.0,3341800,1519,179,4.56424581005587,0.11779999999999999,KOTA TANGERANG,,,,,,0.0,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,USB HUB & Card Reader,13800.0,20500.0,24660600,1787,746,4.50804289544236,0.4175,KOTA JAKARTA BARAT,,,,,,0.0,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,Meja & Stand Laptop,7999.0,7999.0,148245467,18533,7974,4.4718354033371,0.4303,KOTA JAKARTA UTARA,17372.0,1161.0,6.68316831683168,7559.0,415.0,5.49014419896812,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,USB HUB & Card Reader,14400.0,21000.0,188078400,13061,5923,4.58712185229001,0.4535,KOTA JAKARTA UTARA,11938.0,1123.0,9.4693583514827,5421.0,52.0,9.26028408042797,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,Pelindung Keyboard & Trackpad,80000.0,88000.0,2614720000,32684,14935,4.92239185750636,0.457,KOTA BANDUNG,31538.0,1146.0,3.63371171285433,14482.0,453.0,3.12802099157575,2025-05-01 18:50:43.387102
Komputer & Aksesoris,Aksesoris Desktop & Laptop,USB HUB & Card Reader,48900.0,48900.0,209047500,4275,2156,4.74013921113689,0.5043,KOTA JAKARTA PUSAT,,,,,,0.0,2025-05-01 18:50:43.387102
Kamera & Drone,Aksesoris Drone,,100.0,100.0,282400,2824,8,5.0,0.0028000000000000004,KAB. BEKASI,,,,,,0.0,2025-05-01 18:50:43.387102
Mobil,Aksesoris Eksterior Mobil,"Stiker, Logo, & Emblem Mobil",100.0,100.0,764500,7645,6,5.0,0.0008,KOTA JAKARTA BARAT,,,,,,0.0,2025-05-01 18:50:43.387102
Mobil,Aksesoris Eksterior Mobil,"Stiker, Logo, & Emblem Mobil",1000.0,1000.0,44768000,44768,412,4.92233009708738,0.0092,KAB. BOGOR,39344.0,5424.0,13.78691972794,367.0,45.0,12.2615803814714,2025-05-01 18:50:43.387102
Mobil,Aksesoris Eksterior Mobil,"Stiker, Logo, & Emblem Mobil",12175.0,16415.0,103864925,8531,1155,4.75996533795494,0.1354,Luar Negeri,4585.0,3946.0,86.632497273719,45.0,75.0,185.185185185185,2025-05-01 18:50:43.387102
Mobil,Aksesoris Eksterior Mobil,Aksesoris Plat Nomor Mobil,11200.0,11200.0,9016000,805,300,4.80333333333333,0.37270000000000003,KOTA JAKARTA BARAT,,,,,,0.0,2025-05-01 18:50:43.387102
Mobil,Aksesoris Eksterior Mobil,"Stiker, Logo, & Emblem Mobil",9990.0,9990.0,279490230,27977,4234,4.74657534246575,0.15130000000000002,KOTA SEMARANG,,,,,,0.0,2025-05-01 18:50:43.387102
Mobil,Aksesoris Eksterior Mobil,Hiasan Mobil,550.0,550.0,23400300,42546,320,4.85625,0.0075,KOTA JAKARTA PUSAT,,,,,,0.0,2025-05-01 18:50:43.387102
Mobil,Aksesoris Eksterior Mobil,"Stiker, Logo, & Emblem Mobil",1000.0,1000.0,44509000,44509,251,4.9601593625498,0.005600000000000001,KOTA SURABAYA,41637.0,2872.0,6.8977111735329,236.0,15.0,6.35593220338983,2025-05-01 18:50:43.387102
Mobil,Aksesoris Eksterior Mobil,Spion & Aksesoris,1600.0,1600.0,78755200,49222,9082,4.66222173242231,0.1845,KOTA JAKARTA BARAT,46214.0,38.0,6.588513199463,862.0,462.0,5.35962877030162,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,800.0,800.0,2092800,2616,11,5.0,0.0042,KAB. REMBANG,,,,,,0.0,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,390.0,2600.0,4980690,12771,133,4.8796992481203,0.0104,KOTA YOGYAKARTA,944.0,3367.0,35.839132284134,12.0,13.0,10.8333333333333,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,2000.0,5000.0,8960000,4480,3,5.0,0.0007000000000000001,KOTA BANDUNG,,,,,,0.0,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,99.0,250.0,8434899,85201,3,5.0,0.0,KOTA BANDUNG,7921.0,6.0,7.5756619234656,3.0,,,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,365.0,400.0,876000,2400,0,0.0,0.0,KOTA BANDUNG,,,,,,0.0,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,4250.0,4250.0,126165500,29686,5245,4.86798931705456,0.17670000000000002,KAB. TANGERANG,,,,,,0.0,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,251.0,251.0,6350300,25300,13,5.0,0.0005,KAB. BANDUNG,,,,,,0.0,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,160.0,160.0,960000,6000,1,5.0,0.0002,KAB. BANDUNG,,,,,,0.0,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,380.0,2375.0,227836220,599569,3227,4.93180409175449,0.0054,KAB. GUNUNG KIDUL,589161.0,148.0,1.76657993315919,3184.0,43.0,1.35050251256281,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,380.0,1650.0,28404240,74748,334,4.93413173652695,0.0045000000000000005,KAB. GUNUNG KIDUL,6691.0,7847.0,11.729271612898,34.0,3.0,9.86842105263158,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,116.0,561.0,417600,3600,1,5.0,0.0003,KOTA BANDUNG,,,,,,0.0,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,617.0,2470.0,63773737,103361,557,4.93177737881508,0.0054,KAB. SLEMAN,,,,,,0.0,2025-05-01 18:50:43.387102
Aksesoris Fashion,Aksesoris Fashion Lainnya,,1000.0,1000.0,20225000,20225,20,4.9,0.001,KAB. GUNUNG KIDUL,18355.0,187.0,1.18795968498,14.0,6.0,42.8571428571429,2025-05-01 18:50:43.387102
